Usia ,Gen,Domisili,Jenis_Kelamin,Pendapatan,Menikah,Fitur
28,1,Depok,Female,5000000-10000000,1,Transfer Uang
24,2,Jakarta,Male,5000000-10000000,0,Transfer Uang
30,1,Jakarta,Female,0-5000000,1,Transfer Uang
33,1,Jombang,Male,0-5000000,0,Transfer Uang
21,2,Jakarta,Female,0-5000000,0,Transfer Uang
21,2,Tangerang Selatan ,Female,0-5000000,0,Transfer Uang
21,2,Tangerang Selatan ,Female,0-5000000,0,Transfer Uang
21,2,Jakarta,Female,0-5000000,0,Cek Saldo dan Mutasi Rekening
20,2,Tangerang Selatan ,Male,0-5000000,0,Tarik uang
20,2,Depok,Female,0-5000000,0,Transfer Uang
21,2,Bekasi,Female,0-5000000,0,Transfer Uang
21,2,Tangerang Selatan ,Female,0-5000000,0,Transfer Uang
34,1,Jakarta,Male,5000000-10000000,0,Transfer Uang
35,1,Jakarta,Female,10000000-20000000,0,Transfer Uang
39,1,Tangerang,Male,5000000-10000000,0,Transfer Uang
40,1,Depok,Female,10000000-20000000,1,Transfer Uang
42,1,Tangerang,Female,10000000-20000000,1,Transfer Uang
38,1,Tangerang Selatan ,Female,0-5000000,1,Transfer Uang
34,1,Bogor,Male,10000000-20000000,0,Transfer Uang
38,1,Tangerang,Female,5000000-10000000,1,Transfer Uang
40,1,Jakarta,Female,5000000-10000000,1,Transfer Uang
31,1,Serang,Female,5000000-10000000,0,Transfer Uang
28,1,Bekasi,Female,5000000-10000000,0,Transfer Uang
35,1,Jakarta,Male,5000000-10000000,0,Transfer Uang
33,1,Bogor,Male,20000000-35000000,1,Transfer Uang
55,0,Sukabumi,Male,5000000-10000000,1,Transfer Uang
36,1,Banyuwangi,Female,5000000-10000000,1,Transfer Uang
34,1,Bekasi,Female,5000000-10000000,0,Transfer Uang
30,1,Jakarta,Female,10000000-20000000,0,Pembayaran menggunakan QR
31,1,Tangerang,Female,5000000-10000000,1,Transfer Uang
37,1,Depok,Female,10000000-20000000,1,Transfer Uang
40,1,Jakarta,Female,10000000-20000000,1,Transfer Uang
30,1,Jambi,Male,0-5000000,0,Transfer Uang
25,2,Jakarta,Female,5000000-10000000,1,Transfer Uang
32,1,Jakarta,Female,10000000-20000000,1,Transfer Uang
39,1,Jakarta,Female,5000000-10000000,1,Transfer Uang
38,1,Bogor,Female,5000000-10000000,0,Transfer Uang
29,1,Jakarta,Male,5000000-10000000,1,Transfer Uang
27,1,Tangerang ,Female,5000000-10000000,1,Transfer Uang
39,1,Jakarta,Female,5000000-10000000,1,Transfer Uang
45,0,Depok,Female,10000000-20000000,1,Transfer Uang
45,0,Tangerang Selatan ,Female,10000000-20000000,1,Transfer Uang
25,2,Tangerang Selatan ,Female,5000000-10000000,1,Top Up Ewallet
32,1,Jakarta,Female,5000000-10000000,0,Transfer Uang
33,1,Pekanbaru,Female,10000000-20000000,1,Transfer Uang
32,1,Jakarta,Female,10000000-20000000,1,Transfer Uang
33,1,Tangerang Selatan ,Female,10000000-20000000,1,Transfer Uang
33,1,Jakarta,Female,10000000-20000000,0,Transfer Uang
20,2,Jakarta,Male,0-5000000,0,Transfer Uang
20,2,Jakarta,Male,0-5000000,0,Cek Saldo dan Mutasi Rekening
21,2,Bandung,Male,0-5000000,0,Pembayaran menggunakan QR
20,2,Tangerang,Male,0-5000000,0,Transfer Uang
19,2,Tangerang,Male,0-5000000,0,Transfer Uang
21,2,Jakarta,Male,0-5000000,0,Pembayaran atau Pembelian
22,2,Tangerang,Male,0-5000000,0,Transfer Uang
22,2,Depok,Male,0-5000000,0,Top Up Ewallet
20,2,Sukabumi ,Male,5000000-10000000,0,Transfer Uang
22,2,Bogor,Female,0-5000000,0,Top Up Ewallet
20,2,Depok,Male,0-5000000,0,Transfer Uang
55,0,Bandung,Male,0-5000000,1,Transfer Uang
20,2,Jakarta,Female,0-5000000,0,Transfer Uang
40,1,Cirebon,Female,0-5000000,1,Transfer Uang
19,2,Jakarta,Female,0-5000000,0,Transfer Uang
22,2,Tangerang Selatan ,Male,0-5000000,0,Transfer Uang
20,2,Bandung,Male,0-5000000,0,Transfer Uang
21,2,Bekasi,Male,0-5000000,0,Transfer Uang
22,2,Tangerang Selatan ,Male,0-5000000,0,Transfer Uang
20,2,Jakarta,Male,0-5000000,0,Transfer Uang
19,2,Tangerang ,Male,0-5000000,0,Cek Saldo dan Mutasi Rekening
19,2,Bekasi,Female,0-5000000,0,Transfer Uang
45,0,Jakarta,Female,10000000-20000000,1,Transfer Uang
44,0,Tangerang Selatan ,Female,20000000-35000000,1,Transfer Uang
55,0,Bandung,Female,5000000-10000000,0,Transfer Uang
28,1,Bekasi,Female,0-5000000,0,Transfer Uang
43,0,Jakarta,Female,5000000-10000000,1,Transfer Uang
32,1,Jakarta,Female,5000000-10000000,1,Transfer Uang
33,1,Tangerang,Female,0-5000000,1,Transfer Uang
33,1,Depok,Female,5000000-10000000,1,Transfer Uang
42,1,Tangerang Selatan ,Female,5000000-10000000,1,Transfer Uang
40,1,Jakarta,Female,20000000-35000000,0,Transfer Uang
43,0,Tangerang Selatan ,Female,5000000-10000000,1,Transfer Uang
32,1,Bogor,Female,0-5000000,1,Transfer Uang
53,0,Jakarta,Female,5000000-10000000,1,Transfer Uang
56,0,Jakarta,Male,20000000-35000000,1,Transfer Uang
56,0,Jakarta,Female,20000000-35000000,0,Transfer Uang
51,0,Jakarta,Male,35000000-50000000,1,Pembayaran menggunakan QR
49,0,Depok,Male,35000000-50000000,1,Transfer Uang
30,1,Bandung,Female,0-5000000,1,Transfer Uang
54,0,Sleman ,Male,35000000-50000000,0,Transfer Uang
49,0,Jakarta,Male,35000000-50000000,1,Transfer Uang
58,0,Manado,Female,20000000-35000000,0,Transfer Uang
40,1,Jakarta,Male,5000000-10000000,1,Transfer Uang
49,0,Jakarta,Female,5000000-10000000,1,Pembayaran atau Pembelian
19,2,Malang,Female,0-5000000,0,Transfer Uang
53,0,Bandar Lampung,Female,10000000-20000000,1,Transfer Uang
22,2,Jakarta,Female,0-5000000,0,Transfer Uang
18,2,Jakarta,Female,0-5000000,0,Transfer Uang
21,2,Jakarta,Male,0-5000000,0,Top Up Ewallet
45,0,Jakarta,Male,35000000-50000000,1,Transfer Uang
52,0,Jakarta,Male,35000000-50000000,1,Transfer Uang
21,2,Subang,Female,0-5000000,0,Transfer Uang
54,0,Jakarta,Female,35000000-50000000,1,Transfer Uang
49,0,Jakarta,Female,5000000-10000000,1,Transfer Uang
40,1,Semarang,Female,5000000-10000000,1,Transfer Uang
49,0,Jakarta,Male,20000000-35000000,1,Transfer Uang
50,0,Depok,Male,10000000-20000000,1,Transfer Uang
45,0,Bekasi,Male,10000000-20000000,1,Transfer Uang
47,0,Jakarta,Female,35000000-50000000,1,Transfer Uang
56,0,Depok,Male,35000000-50000000,1,Transfer Uang
43,0,Jakarta,Male,10000000-20000000,0,Transfer Uang
45,0,Jakarta,Female,5000000-10000000,1,Transfer Uang
46,0,Jakarta,Male,5000000-10000000,1,Transfer Uang
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Pembayaran atau Pembelian
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Pembayaran atau Pembelian
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Pembayaran atau Pembelian
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Pembayaran atau Pembelian
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Pembayaran atau Pembelian
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Pembayaran atau Pembelian
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Pembayaran atau Pembelian
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Cek Saldo dan Mutasi Rekening
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Top Up Ewallet
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Top Up Ewallet
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Top Up Ewallet
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Top Up Ewallet
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran menggunakan QR
,,,,,, Top Up Ewallet
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Top Up Ewallet
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Top Up Ewallet
,,,,,, Pembayaran atau Pembelian
,,,,,, Top Up Ewallet
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Top Up Ewallet
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Top Up Ewallet
,,,,,, Pembayaran atau Pembelian
,,,,,, Pembayaran atau Pembelian
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Pembayaran menggunakan QR
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Pembayaran menggunakan QR
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Pembayaran menggunakan QR
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Pembayaran menggunakan QR
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Top Up Ewallet
,,,,,, Pembayaran menggunakan QR
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Pembayaran menggunakan QR
,,,,,, Top Up Ewallet
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Top Up Ewallet
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Top Up Ewallet
,,,,,, Top Up Ewallet
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Investasi (Pembelian Saham Reksadana Deposito Asuransi)
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Investasi (Pembelian Saham Reksadana Deposito Asuransi)
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Investasi (Pembelian Saham Reksadana Deposito Asuransi)
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Pembayaran menggunakan QR
,,,,,, Investasi (Pembelian Saham Reksadana Deposito Asuransi)
,,,,,, Investasi (Pembelian Saham Reksadana Deposito Asuransi)
,,,,,, Investasi (Pembelian Saham Reksadana Deposito Asuransi)
,,,,,, Investasi (Pembelian Saham Reksadana Deposito Asuransi)
,,,,,, Investasi (Pembelian Saham Reksadana Deposito Asuransi)
,,,,,, Investasi (Pembelian Saham Reksadana Deposito Asuransi)
,,,,,, Investasi (Pembelian Saham Reksadana Deposito Asuransi)
,,,,,, Investasi (Pembelian Saham Reksadana Deposito Asuransi)
,,,,,, Investasi (Pembelian Saham Reksadana Deposito Asuransi)
,,,,,, Investasi (Pembelian Saham Reksadana Deposito Asuransi)
